CALCULATOR;BASE;WIDTH;HEIGHT;ITERS;TIME
RefMandelCalculator;512;1536;1024;100;118
RefMandelCalculator;512;1536;1024;100;118
RefMandelCalculator;512;1536;1024;100;118
LineMandelCalculator;512;1536;1024;100;12
LineMandelCalculator;512;1536;1024;100;12
LineMandelCalculator;512;1536;1024;100;12
RefMandelCalculator;1024;3072;2048;100;474
RefMandelCalculator;1024;3072;2048;100;474
RefMandelCalculator;1024;3072;2048;100;474
LineMandelCalculator;1024;3072;2048;100;59
LineMandelCalculator;1024;3072;2048;100;59
BatchMandelCalculator;512;1536;1024;100;13
BatchMandelCalculator;512;1536;1024;100;13
BatchMandelCalculator;512;1536;1024;100;13
RefMandelCalculator;2048;6144;4096;100;1886
LineMandelCalculator;1024;3072;2048;100;59
RefMandelCalculator;2048;6144;4096;100;1885
RefMandelCalculator;2048;6144;4096;100;1887
LineMandelCalculator;2048;6144;4096;100;266
LineMandelCalculator;2048;6144;4096;100;266
BatchMandelCalculator;1024;3072;2048;100;53
BatchMandelCalculator;1024;3072;2048;100;53
BatchMandelCalculator;1024;3072;2048;100;53
LineMandelCalculator;2048;6144;4096;100;265
RefMandelCalculator;4096;12288;8192;100;7531
RefMandelCalculator;4096;12288;8192;100;7531
RefMandelCalculator;4096;12288;8192;100;7524
LineMandelCalculator;4096;12288;8192;100;1023
LineMandelCalculator;4096;12288;8192;100;1020
BatchMandelCalculator;2048;6144;4096;100;212
BatchMandelCalculator;2048;6144;4096;100;213
BatchMandelCalculator;2048;6144;4096;100;212
LineMandelCalculator;4096;12288;8192;100;1025
RefMandelCalculator;512;1536;1024;1000;1041
RefMandelCalculator;512;1536;1024;1000;1041
RefMandelCalculator;512;1536;1024;1000;1041
LineMandelCalculator;512;1536;1024;1000;85
BatchMandelCalculator;4096;12288;8192;100;846
LineMandelCalculator;512;1536;1024;1000;85
BatchMandelCalculator;4096;12288;8192;100;845
BatchMandelCalculator;4096;12288;8192;100;843
LineMandelCalculator;512;1536;1024;1000;85
RefMandelCalculator;1024;3072;2048;1000;4166
RefMandelCalculator;1024;3072;2048;1000;4167
RefMandelCalculator;1024;3072;2048;1000;4166
LineMandelCalculator;1024;3072;2048;1000;428
BatchMandelCalculator;512;1536;1024;1000;93
LineMandelCalculator;1024;3072;2048;1000;427
BatchMandelCalculator;512;1536;1024;1000;93
BatchMandelCalculator;512;1536;1024;1000;93
LineMandelCalculator;1024;3072;2048;1000;429
RefMandelCalculator;2048;6144;4096;1000;16667
RefMandelCalculator;2048;6144;4096;1000;16666
RefMandelCalculator;2048;6144;4096;1000;16672
LineMandelCalculator;2048;6144;4096;1000;2013
BatchMandelCalculator;1024;3072;2048;1000;381
LineMandelCalculator;2048;6144;4096;1000;2015
BatchMandelCalculator;1024;3072;2048;1000;382
BatchMandelCalculator;1024;3072;2048;1000;381
LineMandelCalculator;2048;6144;4096;1000;2012
RefMandelCalculator;4096;12288;8192;1000;66669
RefMandelCalculator;4096;12288;8192;1000;66647
RefMandelCalculator;4096;12288;8192;1000;66652
LineMandelCalculator;4096;12288;8192;1000;7678
BatchMandelCalculator;2048;6144;4096;1000;1517
LineMandelCalculator;4096;12288;8192;1000;7685
BatchMandelCalculator;2048;6144;4096;1000;1515
BatchMandelCalculator;2048;6144;4096;1000;1516
LineMandelCalculator;4096;12288;8192;1000;7677
BatchMandelCalculator;4096;12288;8192;1000;6052
BatchMandelCalculator;4096;12288;8192;1000;6045
BatchMandelCalculator;4096;12288;8192;1000;6062
